order_id,customer_id,restaurant_name,cuisine,order_datetime,delivery_time_min,order_value,discount_percent,payment_method,rating,delivery_city,delivery_partner,food_items,cancellation_reason,refund_amount,order_date,order_hour,order_day,is_rated
13698,2226,Pizza Craft,North Indian,2025-08-23 16:56:04,60.0,958.0,0.0,Net Banking,5.0,Hyderabad,Sana,Biryani,Customer Cancelled,419.02,2025-08-23,16,Saturday,True
40057,2052,Pizza Craft,South Indian,2025-07-17 18:07:04,60.0,685.48,0.0,Net Banking,0.0,Pune,Sana,Biryani,Customer Cancelled,0.0,2025-07-17,18,Thursday,False
29824,2942,Burger Hub,Italian,2025-06-12 01:37:04,60.0,958.0,13.7,Cash,4.0,Mumbai,Deepak,South Thali,Rider unavailable,223.43,2025-06-12,1,Thursday,True
76598,8049,Burger Hub,North Indian,2025-04-01 21:14:04,60.0,958.0,3.96,Net Banking,0.0,Mumbai,Fatima,Noodles,Customer Cancelled,0.0,2025-04-01,21,Tuesday,False
72663,1671,Sushi World,Chinese,2025-10-09 20:36:04,60.0,958.0,9.71,Net Banking,4.9,Pune,Sana,"Pizza, Coke",No cancellation,0.0,2025-10-09,20,Thursday,True
41967,4271,Café Bliss,North Indian,2025-09-08 10:41:04,60.0,958.0,19.51,Upi,0.0,Delhi,Deepak,South Thali,No cancellation,0.0,2025-09-08,10,Monday,False
11599,5275,Burger Hub,Fast Food,2025-08-01 14:23:04,34.0,1642.9,0.0,Cash,5.0,Bangalore,Harsh,Sushi Set,No cancellation,0.0,2025-08-01,14,Friday,True
13860,5635,Noodle House,Chinese,2025-03-11 03:26:04,60.0,1542.68,0.0,Upi,3.6,Bangalore,Amit,Noodles,Restaurant busy,0.0,2025-03-11,3,Tuesday,True
84050,5795,Burger Hub,Italian,2025-02-12 22:42:04,60.0,958.0,0.0,Net Banking,0.0,Bangalore,Kiran,South Thali,No cancellation,0.0,2025-02-12,22,Wednesday,False
24482,6510,Noodle House,Italian,2025-10-12 21:10:04,60.0,958.0,0.0,Net Banking,0.0,Delhi,Amit,"Burger, Fries",Rider unavailable,0.0,2025-10-12,21,Sunday,False
27860,9266,Veggie Point,Chinese,2025-06-17 12:37:04,60.0,958.0,6.01,Card,4.3,Pune,Fatima,"Burger, Fries",Rider unavailable,0.0,2025-06-17,12,Tuesday,True
91768,4122,Café Bliss,Italian,2024-12-23 15:01:04,60.0,587.04,17.69,Upi,2.4,Mumbai,Rohan,"Pizza, Coke",Customer Cancelled,0.0,2024-12-23,15,Monday,True
74285,8669,Kebab Street,North Indian,2025-01-16 22:41:04,60.0,958.0,0.0,Upi,5.0,Pune,Sana,Sushi Set,Rider unavailable,0.0,2025-01-16,22,Thursday,True
67224,8972,Biryani Express,Japanese,2025-07-01 06:25:04,41.0,958.0,36.87,Wallet,2.2,Kolkata,Fatima,Noodles,Restaurant busy,0.0,2025-07-01,6,Tuesday,True
24771,6204,Kebab Street,Italian,2025-04-16 10:31:04,60.0,958.0,0.0,Cash,4.6,Delhi,Kiran,Noodles,Rider unavailable,0.0,2025-04-16,10,Wednesday,True
21913,7126,Café Bliss,South Indian,2025-04-30 18:39:04,60.0,958.0,0.0,Upi,0.0,Delhi,Rohan,South Thali,No cancellation,0.0,2025-04-30,18,Wednesday,False
88017,4629,Spice Villa,Fast Food,2024-12-11 14:03:04,60.0,958.0,0.0,Wallet,5.0,Delhi,Kiran,"Burger, Fries",Rider unavailable,0.0,2024-12-11,14,Wednesday,True
20409,5453,Spice Villa,North Indian,2025-06-15 16:14:04,60.0,958.0,0.0,Card,5.0,Kolkata,Harsh,Sushi Set,Rider unavailable,0.0,2025-06-15,16,Sunday,True
82226,4378,Burger Hub,North Indian,2025-05-07 07:18:04,60.0,958.0,17.85,Cash,3.8,Hyderabad,Fatima,South Thali,Restaurant busy,0.0,2025-05-07,7,Wednesday,True
81941,6514,Burger Hub,Fast Food,2025-01-04 00:36:04,60.0,655.64,0.0,Cash,0.0,Kolkata,Rohan,"Burger, Fries",No cancellation,0.0,2025-01-04,0,Saturday,False
17699,4904,Veggie Point,Chinese,2025-11-05 08:38:04,60.0,958.0,0.0,Cash,0.0,Hyderabad,Amit,"Burger, Fries",Restaurant busy,674.8,2025-11-05,8,Wednesday,False
59605,3197,Spice Villa,Chinese,2025-09-07 04:55:04,60.0,958.0,0.0,Cash,5.0,Mumbai,Fatima,Sushi Set,Restaurant busy,165.98,2025-09-07,4,Sunday,True
59107,7659,Tandoori Nights,South Indian,2025-05-18 20:03:04,60.0,1343.61,0.38,Cash,0.0,Kolkata,Sana,Sushi Set,Customer Cancelled,0.0,2025-05-18,20,Sunday,False
33884,2559,Burger Hub,North Indian,2025-01-25 15:04:04,60.0,958.0,0.0,Net Banking,5.0,Pune,Amit,Noodles,No cancellation,0.0,2025-01-25,15,Saturday,True
16143,7000,Veggie Point,South Indian,2025-04-28 21:46:04,108.0,958.0,0.0,Cash,1.7,Bangalore,Amit,"Burger, Fries",Customer Cancelled,0.0,2025-04-28,21,Monday,True
83158,3683,Spice Villa,Chinese,2025-06-26 23:27:04,60.0,1179.93,0.0,Upi,0.0,Delhi,Sana,Sushi Set,Customer Cancelled,318.14,2025-06-26,23,Thursday,False
56954,7894,Tandoori Nights,Chinese,2025-07-14 11:49:04,29.0,1040.75,0.0,Net Banking,5.0,Kolkata,Kiran,Noodles,No cancellation,0.0,2025-07-14,11,Monday,True
14223,4102,Noodle House,North Indian,2025-07-11 22:48:04,59.0,958.0,0.0,Net Banking,5.0,Delhi,Kiran,Sushi Set,Customer Cancelled,0.0,2025-07-11,22,Friday,True
34819,5031,Kebab Street,Japanese,2025-04-16 13:30:04,60.0,958.0,33.55,Cash,0.0,Pune,Rohan,"Pizza, Coke",Rider unavailable,0.0,2025-04-16,13,Wednesday,False
43349,8136,Kebab Street,South Indian,2025-06-29 15:36:04,60.0,958.0,0.0,Cash,0.0,Mumbai,Fatima,Noodles,Rider unavailable,0.0,2025-06-29,15,Sunday,False
17644,8685,Café Bliss,Chinese,2025-05-12 10:09:04,60.0,958.0,0.0,Upi,0.0,Hyderabad,Sana,South Thali,Restaurant busy,0.0,2025-05-12,10,Monday,False
52910,3725,Spice Villa,Italian,2025-07-10 00:30:04,60.0,958.0,0.0,Card,5.0,Bangalore,Kiran,Biryani,Customer Cancelled,169.88,2025-07-10,0,Thursday,True
55670,1144,Burger Hub,South Indian,2025-03-07 21:08:04,80.0,958.0,0.0,Card,2.6,Kolkata,Amit,Noodles,No cancellation,0.0,2025-03-07,21,Friday,True
19304,4669,Burger Hub,Chinese,2025-11-02 14:02:04,60.0,958.0,0.0,Upi,5.0,Bangalore,Rohan,South Thali,Customer Cancelled,0.0,2025-11-02,14,Sunday,True
25321,4695,Café Bliss,Italian,2025-05-27 14:59:04,60.0,958.0,11.26,Cash,0.0,Delhi,Fatima,Sushi Set,No cancellation,0.0,2025-05-27,14,Tuesday,False
85665,4506,Pizza Craft,North Indian,2025-03-29 05:42:04,46.0,958.0,4.89,Net Banking,0.0,Mumbai,Fatima,"Pizza, Coke",Rider unavailable,457.82,2025-03-29,5,Saturday,False
19089,9671,Spice Villa,Italian,2025-09-25 01:59:04,60.0,958.0,0.0,Cash,4.2,Pune,Rohan,Noodles,Rider unavailable,0.0,2025-09-25,1,Thursday,True
68363,6108,Burger Hub,Japanese,2025-04-11 13:43:04,70.0,958.0,25.62,Cash,5.0,Mumbai,Rohan,"Burger, Fries",Restaurant busy,0.0,2025-04-11,13,Friday,True
56247,3320,Pizza Craft,Fast Food,2025-07-30 04:00:04,93.0,958.0,0.0,Cash,5.0,Mumbai,Sana,Sushi Set,Restaurant busy,0.0,2025-07-30,4,Wednesday,True
15639,2177,Noodle House,North Indian,2025-09-16 20:02:04,101.0,958.0,23.21,Upi,0.0,Delhi,Fatima,Noodles,Customer Cancelled,0.0,2025-09-16,20,Tuesday,False
89953,2258,Veggie Point,Japanese,2025-07-13 03:01:04,30.0,1251.64,13.9,Wallet,5.0,Mumbai,Rohan,Noodles,Rider unavailable,0.0,2025-07-13,3,Sunday,True
14892,5438,Noodle House,Japanese,2024-12-13 07:05:04,86.0,958.0,0.0,Cash,2.7,Kolkata,Amit,South Thali,Rider unavailable,0.0,2024-12-13,7,Friday,True
71635,4011,Burger Hub,Fast Food,2024-12-10 05:11:04,73.0,958.0,0.0,Card,0.0,Kolkata,Harsh,Biryani,Customer Cancelled,300.52,2024-12-10,5,Tuesday,False
74524,8364,Tandoori Nights,North Indian,2025-04-07 08:40:04,38.0,958.0,0.0,Upi,3.5,Hyderabad,Fatima,Biryani,Rider unavailable,0.0,2025-04-07,8,Monday,True
71258,8805,Noodle House,Japanese,2024-12-16 01:33:04,60.0,722.9,33.72,Card,5.0,Delhi,Sana,"Pizza, Coke",Rider unavailable,0.0,2024-12-16,1,Monday,True
66255,1396,Tandoori Nights,North Indian,2025-09-16 20:39:04,60.0,1173.2,26.86,Cash,0.0,Delhi,Kiran,"Burger, Fries",Restaurant busy,597.11,2025-09-16,20,Tuesday,False
33737,4538,Veggie Point,Italian,2025-03-12 10:45:04,101.0,958.0,18.19,Upi,2.7,Bangalore,Rohan,South Thali,Customer Cancelled,0.0,2025-03-12,10,Wednesday,True
49528,6150,Café Bliss,Italian,2025-11-19 21:08:04,60.0,958.0,0.0,Cash,3.0,Bangalore,Harsh,Sushi Set,No cancellation,0.0,2025-11-19,21,Wednesday,True
14480,2780,Spice Villa,Italian,2025-04-12 21:11:04,60.0,958.0,0.0,Net Banking,0.0,Delhi,Amit,Sushi Set,Restaurant busy,0.0,2025-04-12,21,Saturday,False
26610,9873,Burger Hub,Italian,2025-08-26 06:07:04,60.0,958.0,0.0,Net Banking,5.0,Delhi,Deepak,South Thali,Rider unavailable,0.0,2025-08-26,6,Tuesday,True
72226,1125,Veggie Point,South Indian,2025-08-17 20:27:04,60.0,958.0,26.5,Cash,1.9,Delhi,Deepak,Sushi Set,No cancellation,0.0,2025-08-17,20,Sunday,True
19419,4524,Spice Villa,Chinese,2025-04-27 20:09:04,60.0,958.0,8.86,Card,0.0,Kolkata,Deepak,Sushi Set,Customer Cancelled,0.0,2025-04-27,20,Sunday,False
60914,3417,Tandoori Nights,South Indian,2025-09-19 11:49:04,24.0,1497.45,0.0,Wallet,5.0,Delhi,Kiran,"Pizza, Coke",Customer Cancelled,519.11,2025-09-19,11,Friday,True
99537,1268,Kebab Street,Fast Food,2025-03-15 11:55:04,60.0,958.0,0.0,Cash,5.0,Pune,Harsh,Biryani,Rider unavailable,0.0,2025-03-15,11,Saturday,True
74696,8631,Biryani Express,Italian,2025-03-20 12:15:04,60.0,958.0,26.19,Net Banking,5.0,Kolkata,Deepak,"Burger, Fries",Rider unavailable,202.08,2025-03-20,12,Thursday,True
69219,8119,Tandoori Nights,Mexican,2024-11-27 02:39:04,60.0,1433.44,0.0,Upi,0.0,Pune,Amit,"Pizza, Coke",No cancellation,0.0,2024-11-27,2,Wednesday,False
19709,1381,Burger Hub,North Indian,2025-09-07 15:53:04,60.0,958.0,14.76,Upi,1.0,Delhi,Rohan,Sushi Set,Rider unavailable,427.9,2025-09-07,15,Sunday,True
50952,6234,Veggie Point,Mexican,2025-04-09 17:53:04,60.0,1109.1,0.0,Cash,5.0,Hyderabad,Amit,Sushi Set,Rider unavailable,0.0,2025-04-09,17,Wednesday,True
40782,6165,Kebab Street,Chinese,2025-04-27 08:20:04,80.0,939.63,0.0,Cash,5.0,Bangalore,Kiran,South Thali,Customer Cancelled,318.42,2025-04-27,8,Sunday,True
95735,7130,Café Bliss,Mexican,2025-09-21 13:32:04,60.0,348.88,0.0,Cash,0.0,Hyderabad,Rohan,Biryani,Customer Cancelled,0.0,2025-09-21,13,Sunday,False
53340,4396,Burger Hub,North Indian,2025-11-17 17:40:04,85.0,958.0,0.0,Upi,3.2,Hyderabad,Sana,Noodles,No cancellation,0.0,2025-11-17,17,Monday,True
19043,2086,Pizza Craft,Japanese,2024-12-05 23:11:04,106.0,1712.57,0.0,Upi,5.0,Pune,Harsh,Noodles,Rider unavailable,565.73,2024-12-05,23,Thursday,True
48807,7857,Spice Villa,North Indian,2025-01-15 22:06:04,60.0,1217.35,0.0,Cash,4.3,Hyderabad,Sana,Biryani,Restaurant busy,0.0,2025-01-15,22,Wednesday,True
71334,7638,Veggie Point,North Indian,2025-04-27 21:52:04,60.0,958.0,0.0,Net Banking,5.0,Mumbai,Harsh,Noodles,Customer Cancelled,572.48,2025-04-27,21,Sunday,True
41736,6099,Noodle House,Italian,2025-06-10 12:00:04,19.0,958.0,0.0,Card,2.8,Pune,Sana,South Thali,Restaurant busy,606.73,2025-06-10,12,Tuesday,True
52837,1464,Burger Hub,Japanese,2025-01-03 05:27:04,16.0,958.0,0.0,Cash,4.2,Bangalore,Fatima,Biryani,Restaurant busy,0.0,2025-01-03,5,Friday,True
95820,5999,Tandoori Nights,North Indian,2025-06-27 01:27:04,32.0,958.0,29.88,Cash,2.0,Bangalore,Sana,Noodles,Customer Cancelled,0.0,2025-06-27,1,Friday,True
55740,5906,Tandoori Nights,Italian,2025-07-29 10:29:04,75.0,158.08,0.0,Card,5.0,Delhi,Deepak,Noodles,Customer Cancelled,0.0,2025-07-29,10,Tuesday,True
63276,9404,Pizza Craft,Japanese,2025-03-20 08:12:04,60.0,870.5,0.0,Cash,1.7,Mumbai,Fatima,"Pizza, Coke",Restaurant busy,0.0,2025-03-20,8,Thursday,True
35620,5152,Noodle House,Italian,2025-01-06 08:58:04,60.0,958.0,0.0,Card,4.9,Hyderabad,Amit,Biryani,Restaurant busy,0.0,2025-01-06,8,Monday,True
69873,4037,Burger Hub,North Indian,2025-01-24 21:26:04,60.0,1768.26,24.55,Net Banking,0.0,Hyderabad,Kiran,Noodles,No cancellation,0.0,2025-01-24,21,Friday,False
49142,7155,Noodle House,North Indian,2025-04-22 05:24:04,60.0,958.0,0.0,Card,2.0,Hyderabad,Harsh,South Thali,No cancellation,0.0,2025-04-22,5,Tuesday,True
47722,5910,Veggie Point,Fast Food,2025-10-18 20:44:04,60.0,958.0,10.57,Net Banking,4.0,Hyderabad,Sana,"Pizza, Coke",No cancellation,0.0,2025-10-18,20,Saturday,True
54083,8493,Spice Villa,North Indian,2025-11-13 02:53:04,60.0,1044.77,0.0,Wallet,2.3,Mumbai,Kiran,Noodles,Restaurant busy,267.74,2025-11-13,2,Thursday,True
94382,7882,Sushi World,Japanese,2025-08-24 19:46:04,60.0,1348.14,3.61,Upi,0.0,Hyderabad,Harsh,"Burger, Fries",Restaurant busy,534.58,2025-08-24,19,Sunday,False
93165,1114,Pizza Craft,South Indian,2025-11-09 16:55:04,60.0,958.0,0.0,Upi,5.0,Pune,Harsh,"Pizza, Coke",Rider unavailable,223.9,2025-11-09,16,Sunday,True
51082,5966,Burger Hub,South Indian,2025-03-28 13:31:04,39.0,958.0,0.0,Card,0.0,Hyderabad,Harsh,Noodles,Customer Cancelled,315.21,2025-03-28,13,Friday,False
17912,2202,Sushi World,Fast Food,2025-11-24 14:46:04,60.0,1175.3,29.12,Card,5.0,Bangalore,Harsh,"Burger, Fries",Rider unavailable,585.29,2025-11-24,14,Monday,True
42206,8231,Spice Villa,Italian,2024-12-27 00:37:04,60.0,958.0,0.0,Card,3.9,Delhi,Deepak,Biryani,No cancellation,0.0,2024-12-27,0,Friday,True
56749,2930,Biryani Express,Mexican,2025-02-22 17:07:04,60.0,514.77,0.0,Cash,0.0,Kolkata,Fatima,Noodles,Restaurant busy,442.06,2025-02-22,17,Saturday,False
31453,6448,Tandoori Nights,Italian,2025-06-24 09:20:04,60.0,1196.62,0.0,Cash,0.0,Kolkata,Amit,South Thali,Restaurant busy,571.06,2025-06-24,9,Tuesday,False
31362,1840,Burger Hub,Fast Food,2025-06-01 04:43:04,62.0,958.0,0.0,Upi,0.0,Hyderabad,Fatima,Sushi Set,No cancellation,0.0,2025-06-01,4,Sunday,False
14792,3789,Spice Villa,Mexican,2025-08-28 11:46:04,60.0,958.0,0.0,Net Banking,0.0,Hyderabad,Fatima,"Burger, Fries",No cancellation,0.0,2025-08-28,11,Thursday,False
73677,4925,Burger Hub,Italian,2025-01-30 02:51:04,47.0,958.0,0.0,Cash,5.0,Mumbai,Amit,Sushi Set,No cancellation,0.0,2025-01-30,2,Thursday,True
34449,1857,Burger Hub,Japanese,2025-08-28 06:14:04,85.0,958.0,13.16,Net Banking,5.0,Pune,Sana,Biryani,Customer Cancelled,0.0,2025-08-28,6,Thursday,True
46970,9537,Veggie Point,North Indian,2025-06-02 07:25:04,60.0,958.0,0.0,Wallet,3.0,Delhi,Sana,"Burger, Fries",No cancellation,0.0,2025-06-02,7,Monday,True
41878,3686,Kebab Street,Mexican,2025-03-04 06:33:04,60.0,715.23,0.0,Net Banking,4.5,Bangalore,Harsh,"Burger, Fries",Customer Cancelled,0.0,2025-03-04,6,Tuesday,True
97861,4446,Veggie Point,Mexican,2025-05-05 01:25:04,18.0,958.0,0.0,Net Banking,2.5,Bangalore,Rohan,Noodles,Customer Cancelled,0.0,2025-05-05,1,Monday,True
28417,4046,Burger Hub,Italian,2025-01-19 09:00:04,60.0,958.0,0.0,Cash,5.0,Pune,Rohan,Noodles,Restaurant busy,0.0,2025-01-19,9,Sunday,True
81857,9952,Kebab Street,North Indian,2025-03-26 02:18:04,95.0,958.0,0.0,Upi,5.0,Kolkata,Fatima,Sushi Set,Restaurant busy,0.0,2025-03-26,2,Wednesday,True
75787,7321,Kebab Street,Fast Food,2025-09-28 04:42:04,60.0,958.0,36.5,Cash,5.0,Hyderabad,Kiran,South Thali,Restaurant busy,0.0,2025-09-28,4,Sunday,True
99634,5076,Café Bliss,Italian,2024-12-14 14:22:04,31.0,958.0,20.01,Upi,5.0,Mumbai,Harsh,Sushi Set,Restaurant busy,209.66,2024-12-14,14,Saturday,True
74495,4690,Burger Hub,Italian,2025-03-01 20:30:04,69.0,958.0,7.72,Wallet,4.2,Delhi,Fatima,"Burger, Fries",No cancellation,0.0,2025-03-01,20,Saturday,True
30725,7414,Spice Villa,South Indian,2025-09-28 02:53:04,60.0,958.0,35.0,Upi,5.0,Bangalore,Fatima,"Burger, Fries",Rider unavailable,0.0,2025-09-28,2,Sunday,True
68146,5625,Café Bliss,North Indian,2025-01-01 17:15:04,60.0,958.0,15.35,Cash,5.0,Mumbai,Sana,"Burger, Fries",Customer Cancelled,0.0,2025-01-01,17,Wednesday,True
41363,9535,Noodle House,Italian,2025-02-14 06:11:04,60.0,1702.24,0.0,Cash,3.1,Kolkata,Kiran,Sushi Set,Restaurant busy,0.0,2025-02-14,6,Friday,True
45808,3869,Burger Hub,South Indian,2025-02-16 19:20:04,117.0,958.0,0.0,Wallet,5.0,Pune,Kiran,South Thali,No cancellation,0.0,2025-02-16,19,Sunday,True
93267,3600,Veggie Point,Chinese,2025-04-18 10:20:04,60.0,1661.81,0.0,Upi,0.0,Hyderabad,Rohan,Biryani,No cancellation,0.0,2025-04-18,10,Friday,False
95671,9096,Café Bliss,Italian,2024-12-17 22:24:04,60.0,141.24,29.96,Card,5.0,Delhi,Kiran,"Pizza, Coke",No cancellation,0.0,2024-12-17,22,Tuesday,True
65291,2176,Biryani Express,Italian,2024-12-01 21:16:04,60.0,958.0,0.0,Net Banking,1.3,Bangalore,Fatima,South Thali,Customer Cancelled,0.0,2024-12-01,21,Sunday,True
34233,7990,Biryani Express,South Indian,2025-11-03 22:43:04,60.0,1093.55,0.0,Card,5.0,Hyderabad,Fatima,South Thali,No cancellation,0.0,2025-11-03,22,Monday,True
59080,7616,Burger Hub,North Indian,2025-06-16 20:35:04,69.0,137.96,0.0,Wallet,3.8,Mumbai,Sana,"Burger, Fries",Customer Cancelled,389.14,2025-06-16,20,Monday,True
28567,8603,Kebab Street,North Indian,2025-02-04 17:16:04,101.0,958.0,0.0,Upi,5.0,Mumbai,Harsh,Sushi Set,No cancellation,0.0,2025-02-04,17,Tuesday,True
19850,5730,Noodle House,Italian,2025-07-10 21:34:04,60.0,1124.28,0.0,Net Banking,1.3,Hyderabad,Deepak,"Pizza, Coke",Customer Cancelled,0.0,2025-07-10,21,Thursday,True
11781,4696,Spice Villa,North Indian,2025-02-06 22:51:04,60.0,958.0,26.48,Upi,5.0,Bangalore,Deepak,"Pizza, Coke",Rider unavailable,0.0,2025-02-06,22,Thursday,True
53810,2898,Tandoori Nights,Italian,2025-11-06 19:14:04,86.0,1526.92,0.0,Upi,0.0,Kolkata,Rohan,Sushi Set,Rider unavailable,0.0,2025-11-06,19,Thursday,False
14707,3176,Spice Villa,North Indian,2024-12-01 12:35:04,72.0,958.0,0.0,Upi,5.0,Mumbai,Deepak,Biryani,Rider unavailable,228.72,2024-12-01,12,Sunday,True
11229,4660,Sushi World,South Indian,2025-07-31 11:18:04,60.0,958.0,31.31,Cash,5.0,Mumbai,Kiran,Biryani,Customer Cancelled,249.28,2025-07-31,11,Thursday,True
78653,1787,Veggie Point,Fast Food,2024-12-16 10:50:04,60.0,958.0,14.94,Wallet,2.5,Kolkata,Fatima,"Pizza, Coke",Rider unavailable,0.0,2024-12-16,10,Monday,True
29509,3717,Burger Hub,South Indian,2025-01-11 04:23:04,60.0,1582.19,0.0,Upi,5.0,Delhi,Kiran,"Burger, Fries",Customer Cancelled,0.0,2025-01-11,4,Saturday,True
88218,8634,Burger Hub,Mexican,2024-12-12 09:22:04,78.0,1662.96,37.9,Wallet,5.0,Kolkata,Harsh,South Thali,No cancellation,0.0,2024-12-12,9,Thursday,True
66830,1583,Kebab Street,Chinese,2025-11-12 02:00:04,60.0,958.0,0.0,Wallet,5.0,Pune,Harsh,Biryani,No cancellation,0.0,2025-11-12,2,Wednesday,True
21578,5655,Kebab Street,Chinese,2025-06-21 05:56:04,60.0,958.0,34.68,Net Banking,3.3,Pune,Harsh,"Pizza, Coke",Customer Cancelled,133.33,2025-06-21,5,Saturday,True
68100,2500,Veggie Point,Chinese,2025-10-03 15:47:04,60.0,958.0,0.0,Net Banking,4.7,Mumbai,Fatima,Noodles,Restaurant busy,698.69,2025-10-03,15,Friday,True
20931,9250,Biryani Express,North Indian,2025-11-21 21:23:04,60.0,958.0,34.79,Cash,2.3,Delhi,Kiran,Noodles,Restaurant busy,0.0,2025-11-21,21,Friday,True
26843,7415,Spice Villa,North Indian,2025-05-08 23:59:04,60.0,1526.68,14.17,Cash,3.3,Mumbai,Fatima,Biryani,No cancellation,0.0,2025-05-08,23,Thursday,True
53536,2404,Café Bliss,Chinese,2025-10-31 08:00:04,60.0,958.0,5.2,Cash,1.9,Mumbai,Kiran,Sushi Set,No cancellation,0.0,2025-10-31,8,Friday,True
86242,8173,Kebab Street,Japanese,2025-08-13 19:32:04,60.0,793.03,0.0,Cash,0.0,Mumbai,Sana,Sushi Set,Customer Cancelled,0.0,2025-08-13,19,Wednesday,False
14095,4663,Tandoori Nights,Fast Food,2025-03-11 21:31:04,71.0,958.0,0.0,Cash,5.0,Hyderabad,Sana,Sushi Set,Restaurant busy,607.08,2025-03-11,21,Tuesday,True
70688,9009,Pizza Craft,Chinese,2025-04-05 05:20:04,97.0,958.0,0.0,Cash,2.8,Pune,Fatima,Sushi Set,Restaurant busy,0.0,2025-04-05,5,Saturday,True
30816,8978,Noodle House,Mexican,2025-04-02 07:48:04,98.0,443.74,0.0,Cash,0.0,Mumbai,Rohan,South Thali,Restaurant busy,54.16,2025-04-02,7,Wednesday,False
79872,1295,Burger Hub,North Indian,2025-09-27 13:06:04,100.0,958.0,25.08,Wallet,5.0,Kolkata,Kiran,"Pizza, Coke",Customer Cancelled,0.0,2025-09-27,13,Saturday,True
31349,4502,Burger Hub,Chinese,2025-08-28 09:12:04,60.0,958.0,0.0,Net Banking,5.0,Kolkata,Amit,Noodles,Customer Cancelled,84.18,2025-08-28,9,Thursday,True
61058,2584,Burger Hub,North Indian,2025-10-14 11:15:04,54.0,958.0,0.0,Wallet,3.1,Delhi,Harsh,South Thali,Restaurant busy,0.0,2025-10-14,11,Tuesday,True
74708,4410,Spice Villa,Japanese,2025-07-26 04:26:04,68.0,958.0,17.91,Cash,0.0,Hyderabad,Kiran,"Burger, Fries",No cancellation,0.0,2025-07-26,4,Saturday,False
64921,5928,Biryani Express,North Indian,2024-12-13 08:51:04,60.0,958.0,27.13,Card,5.0,Pune,Rohan,Biryani,Customer Cancelled,0.0,2024-12-13,8,Friday,True
21012,4554,Noodle House,North Indian,2025-11-20 01:22:04,60.0,726.45,0.0,Upi,5.0,Kolkata,Kiran,South Thali,No cancellation,0.0,2025-11-20,1,Thursday,True
16599,1868,Noodle House,Japanese,2025-03-19 04:26:04,118.0,958.0,0.0,Cash,4.2,Delhi,Deepak,Biryani,Rider unavailable,363.65,2025-03-19,4,Wednesday,True
37984,5738,Tandoori Nights,North Indian,2025-06-07 11:18:04,60.0,958.0,0.0,Net Banking,5.0,Delhi,Rohan,"Pizza, Coke",Customer Cancelled,0.0,2025-06-07,11,Saturday,True
59049,5106,Biryani Express,Fast Food,2025-07-15 03:56:04,53.0,761.86,0.0,Wallet,5.0,Pune,Kiran,"Pizza, Coke",Restaurant busy,0.0,2025-07-15,3,Tuesday,True
52648,6082,Café Bliss,North Indian,2025-08-25 22:03:04,60.0,958.0,0.0,Wallet,4.7,Hyderabad,Fatima,"Burger, Fries",Rider unavailable,0.0,2025-08-25,22,Monday,True
89595,8671,Burger Hub,South Indian,2025-01-25 10:38:04,29.0,958.0,0.0,Card,5.0,Mumbai,Fatima,"Burger, Fries",Restaurant busy,0.0,2025-01-25,10,Saturday,True
